Dataset,Configuration,Buffer_Mode,Threshold_Mode,F1,Accuracy,Precision,Recall,FPR,FNR,Final_Buffer,Final_Threshold
UNSW-NB15,Random Forest,static,static,1.0,1.0,1.0,1.0,0.0,0.0,N/A,N/A
UNSW-NB15,XGBoost,static,static,0.9966996699669968,0.998,1.0,0.993421052631579,0.0,0.006578947368421052,N/A,N/A
UNSW-NB15,LightGBM,static,static,1.0,1.0,1.0,1.0,0.0,0.0,N/A,N/A
UNSW-NB15,SVM,static,static,0.9922992299229922,0.9953333333333333,0.9955849889624724,0.9890350877192983,0.0019157088122605363,0.010964912280701754,N/A,N/A
UNSW-NB15,KNN,static,static,0.9832775919732442,0.99,1.0,0.9671052631578947,0.0,0.03289473684210526,N/A,N/A
UNSW-NB15,Naive Bayes,static,static,1.0,1.0,1.0,1.0,0.0,0.0,N/A,N/A
UNSW-NB15,MLP,static,static,0.9890590809628008,0.9933333333333333,0.9868995633187773,0.9912280701754386,0.005747126436781609,0.008771929824561403,N/A,N/A
CIC-IDS2017,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9844789356984479,0.9906666666666667,0.9955156950672646,0.9736842105263158,0.0019157088122605363,0.02631578947368421,32,0.6849999999999999
CIC-IDS2017,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,40,0.5
CIC-IDS2017,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9428891377379618,0.966,0.9633867276887872,0.9232456140350878,0.01532567049808429,0.07675438596491228,50,0.6249999999999999
CIC-IDS2017,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,20,0.5
CIC-IDS2017,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,50,0.5
CIC-IDS2017,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,100,0.5
CIC-IDS2017,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.7625418060200669,0.8106666666666666,0.6162162162162163,1.0,0.2720306513409962,0.0,50,0.3
CIC-IDS2017,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.8963210702341137,0.938,0.9115646258503401,0.881578947368421,0.03735632183908046,0.11842105263157894,50,0.7
CIC-IDS2017,Random Forest,static,static,0.9978070175438597,0.9986666666666667,0.9978070175438597,0.9978070175438597,0.0009578544061302681,0.0021929824561403508,N/A,N/A
CIC-IDS2017,XGBoost,static,static,0.9933920704845816,0.996,0.9977876106194691,0.9890350877192983,0.0009578544061302681,0.010964912280701754,N/A,N/A
CIC-IDS2017,LightGBM,static,static,0.9966996699669968,0.998,1.0,0.993421052631579,0.0,0.006578947368421052,N/A,N/A
CIC-IDS2017,SVM,static,static,0.9944994499449944,0.9966666666666667,0.9977924944812362,0.9912280701754386,0.0009578544061302681,0.008771929824561403,N/A,N/A
CIC-IDS2017,KNN,static,static,0.9821826280623608,0.9893333333333333,0.997737556561086,0.9671052631578947,0.0009578544061302681,0.03289473684210526,N/A,N/A
CIC-IDS2017,Naive Bayes,static,static,0.9989047097480832,0.9993333333333333,0.9978118161925602,1.0,0.0009578544061302681,0.0,N/A,N/A
CIC-IDS2017,MLP,static,static,0.9866962305986695,0.992,0.9977578475336323,0.9758771929824561,0.0009578544061302681,0.02412280701754386,N/A,N/A
